,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.816,0.8256,0.816,0.8119,0.6187,0.8123
1,Fold 02,0.7708,0.7744,0.7708,0.767,0.5271,0.7675
2,Fold 03,0.809,0.8219,0.809,0.8038,0.603,0.8262
3,Fold 04,0.8084,0.8161,0.8084,0.8046,0.6041,0.8267
4,Fold 05,0.8676,0.8745,0.8676,0.8657,0.7275,0.8873
5,Fold 06,0.8397,0.8429,0.8397,0.8379,0.6703,0.8552
6,Fold 07,0.7875,0.7966,0.7875,0.7821,0.5581,0.7953
7,Fold 08,0.7979,0.8006,0.7979,0.7952,0.5836,0.8133
8,Fold 09,0.8084,0.811,0.8084,0.806,0.6055,0.8342
9,Fold 10,0.7352,0.7385,0.7352,0.7294,0.4508,0.7501
10,Average,0.804,0.8102,0.804,0.8004,0.5949,0.8168
11,Std Dev,0.036,0.037,0.036,0.0371,0.0752,0.0399
