,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.7882,0.7945,0.7882,0.7839,0.5619,0.8008
1,Fold 02,0.7639,0.7681,0.7639,0.7594,0.512,0.782
2,Fold 03,0.7604,0.7639,0.7604,0.7561,0.5052,0.792
3,Fold 04,0.7666,0.7744,0.7666,0.7608,0.5162,0.7931
4,Fold 05,0.8153,0.829,0.8153,0.8103,0.6167,0.8421
5,Fold 06,0.8084,0.8089,0.8084,0.8069,0.6074,0.844
6,Fold 07,0.777,0.7918,0.777,0.7692,0.5336,0.8216
7,Fold 08,0.7875,0.7923,0.7875,0.7836,0.5603,0.8257
8,Fold 09,0.7875,0.7894,0.7875,0.7848,0.5625,0.7952
9,Fold 10,0.7282,0.7344,0.7282,0.7203,0.4335,0.7366
10,Average,0.7783,0.7847,0.7783,0.7735,0.5409,0.8033
11,Std Dev,0.0252,0.0261,0.0252,0.0265,0.0535,0.032
