,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.8264,0.8342,0.8264,0.8231,0.6411,0.8205
1,Fold 02,0.7778,0.7817,0.7778,0.774,0.5414,0.781
2,Fold 03,0.8194,0.8322,0.8194,0.8148,0.625,0.8315
3,Fold 04,0.8049,0.8116,0.8049,0.8012,0.5972,0.8034
4,Fold 05,0.8641,0.8733,0.8641,0.8617,0.7197,0.8828
5,Fold 06,0.8362,0.8399,0.8362,0.8342,0.6629,0.8641
6,Fold 07,0.8049,0.8145,0.8049,0.8002,0.5947,0.8256
7,Fold 08,0.8223,0.8265,0.8223,0.8198,0.6336,0.8305
8,Fold 09,0.8049,0.8089,0.8049,0.8019,0.5973,0.8441
9,Fold 10,0.7317,0.7353,0.7317,0.7256,0.4431,0.7476
10,Average,0.8093,0.8158,0.8093,0.8056,0.6056,0.8231
11,Std Dev,0.0355,0.037,0.0355,0.0365,0.0742,0.039
