,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.8333,0.84,0.8333,0.8305,0.6561,0.8321
1,Fold 02,0.7708,0.7755,0.7708,0.7665,0.5263,0.7677
2,Fold 03,0.8229,0.8349,0.8229,0.8185,0.6325,0.8611
3,Fold 04,0.8153,0.822,0.8153,0.8121,0.619,0.7951
4,Fold 05,0.8641,0.8733,0.8641,0.8617,0.7197,0.8671
5,Fold 06,0.8537,0.8585,0.8537,0.8517,0.6985,0.8422
6,Fold 07,0.8153,0.8333,0.8153,0.8092,0.6141,0.812
7,Fold 08,0.8153,0.8182,0.8153,0.813,0.6198,0.8284
8,Fold 09,0.8153,0.8217,0.8153,0.8119,0.618,0.8356
9,Fold 10,0.7387,0.7439,0.7387,0.7321,0.4567,0.7275
10,Average,0.8145,0.8221,0.8145,0.8107,0.6161,0.8169
11,Std Dev,0.0366,0.0378,0.0366,0.0378,0.0767,0.0431
