,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.8333,0.84,0.8333,0.8305,0.6561,0.8172
1,Fold 02,0.7778,0.7817,0.7778,0.774,0.5414,0.7655
2,Fold 03,0.8229,0.8349,0.8229,0.8185,0.6325,0.8393
3,Fold 04,0.8153,0.822,0.8153,0.8121,0.619,0.806
4,Fold 05,0.8641,0.8733,0.8641,0.8617,0.7197,0.8915
5,Fold 06,0.8537,0.8585,0.8537,0.8517,0.6985,0.8595
6,Fold 07,0.8084,0.8232,0.8084,0.8025,0.6002,0.8201
7,Fold 08,0.8153,0.8182,0.8153,0.813,0.6198,0.8348
8,Fold 09,0.8084,0.8131,0.8084,0.8052,0.6042,0.8412
9,Fold 10,0.7387,0.7439,0.7387,0.7321,0.4567,0.7476
10,Average,0.8138,0.8209,0.8138,0.8101,0.6148,0.8223
11,Std Dev,0.0359,0.0369,0.0359,0.0371,0.0751,0.0423
