,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC
0,Fold 01,0.8299,0.8371,0.8299,0.8268,0.6486,0.8307
1,Fold 02,0.7778,0.7817,0.7778,0.774,0.5414,0.7713
2,Fold 03,0.8229,0.8349,0.8229,0.8185,0.6325,0.8356
3,Fold 04,0.8153,0.822,0.8153,0.8121,0.619,0.8013
4,Fold 05,0.8641,0.8733,0.8641,0.8617,0.7197,0.8853
5,Fold 06,0.8502,0.8543,0.8502,0.8483,0.6916,0.8652
6,Fold 07,0.7979,0.8107,0.7979,0.792,0.5788,0.8172
7,Fold 08,0.8188,0.8223,0.8188,0.8164,0.6267,0.8405
8,Fold 09,0.8118,0.8162,0.8118,0.809,0.6117,0.8401
9,Fold 10,0.7387,0.7439,0.7387,0.7321,0.4567,0.7494
10,Average,0.8127,0.8196,0.8127,0.8091,0.6127,0.8237
11,Std Dev,0.0356,0.0364,0.0356,0.0368,0.0747,0.0409
